"1","Banery","","","1",""
"2","Naklejki","","","2",""
"3","Flaga","flaga","flaga.html","3",""
"4","Magnes","magnes","magnes.html","4",""
"5","Rollup, potykacz","rollup_potykacz","rollup_potykacz.html","5",""
"6","Szyld","szyld","szyld.html","6",""
"7","Kaseton LED","kaseton_led","kaseton_led.html","7",""
"8","Litery 3D","litery_3d","litery_3d.html","8",""
"9","Puchary, medale, dyplomy","puchary_medale_dyplomy","puchary_medale_dyplomy.html","9",""
"10","Projekty graficzne","projekty_graficzne","projekty_graficzne.html","10",""
"11","Koszulki z nadrukiem","koszulki_z_nadrukiem","koszulki_z_nadrukiem.html","11",""
"12","Oklejanie witryn, pojazdów","oklejanie_witryn_pojazdow","oklejanie_witryn_pojazdow.html","12",""
"13","Poligrafia","poligrafia","poligrafia.html","13",""
"14","Baner zwykły","baner_zwykly","baner_zwykly.html","1","1"
"15","Baner odblaskowy","baner_odblaskowy","baner_odblaskowy.html","2","1"
"16","Baner siatka mesh","baner_siatka_mesh","baner_siatka_mesh.html","3","1"
"17","Folia zwykła (monomeryczna)","folia_zwykla","folia_zwykla.html","1","2"
"18","Folia odblaskowa","folia_odblaskowa","folia_odblaskowa.html","2","2"
"19","Folia OWV (One Way Vision)","folia_owv","folia_owv.html","3","2"
"20","Folia samochodowa","folia_samochodowa","folia_samochodowa.html","4","2"
"21","Folia ploterowa","folia_ploterowa","folia_ploterowa.html","5","2"
